ticker,name,shares_outstanding,free_float,capping_factor
AVY,Avery Dennison,,1.0,1.0
CCL-A.TO,CCL A Industries,,1.0,1.0
CCL-B.TO,CCL B Industries,,1.0,1.0
UPM.HE,UPM-Kymmene,,1.0,1.0
HUH1V.HE,Huhtamaki,,1.0,1.0
AMCR,Amcor,,1.0,1.0
BALL,Ball Corp,,1.0,1.0
CCK,Crown Holdings,,1.0,1.0
SW,Smurfit WestRock,,1.0,1.0
MNDI.L,Mondi,,1.0,1.0
MMK.VI,Mayr-Melnhof,,1.0,1.0
SON,Sonoco,,1.0,1.0
GPK,Graphic Packaging,,1.0,1.0
PKG,Packaging Corp of America,,1.0,1.0
IP,International Paper,,1.0,1.0
AMBP,Ardagh Metal Packaging SA,,1.0,1.0
7864.T,Fuji Seal International,,1.0,1.0
7912.T,Dai Nippon Printing (DNP),,1.0,1.0
7911.T,TOPPAN Holdings,,1.0,1.0
6287.T,SATO Holdings,,1.0,1.0
