ticker,name,shares_outstanding,free_float,capping_factor
PKG,Packaging Corporation of America,89977067.0,1.0,1.0
IP,International Paper,528038317.0,1.0,1.0
SW,Smurfit WestRock,522400578.0,1.0,1.0
MNDI.L,Mondi plc,440536840.0,1.0,1.0
3941.T,"Rengo Co., Ltd.",248044232.0,1.0,1.0
3861.T,Oji Holdings Corporation,893113215.0,1.0,1.0
SCGP.BK,SCG Packaging PCL,4292920000.0,1.0,1.0
2689.HK,Nine Dragons Paper (Holdings) Limited,4692220811.0,1.0,1.0
KLBN11.SA,Klabin S.A.,1214936096.0,1.0,1.0
CAS.TO,Cascades,101257276.0,1.0,1.0
