ticker,name,shares_outstanding,free_float,capping_factor
CL,Colgate-Palmolive,,1.0,1.0
CHD,Church and Dwight,,1.0,1.0
CLX,Clorox,,1.0,1.0
KMB,Kimberly-Clark,,1.0,1.0
HSY,Hershey,,1.0,1.0
SJM,J.M. Smucker,,1.0,1.0
BN.PA,Danone,,1.0,1.0
RKT.L,Reckitt,,1.0,1.0
PG,Procter and Gamble,,1.0,1.0
KO,Coca-Cola,,1.0,1.0
UL,Unilever,,1.0,1.0
PEP,PepsiCo,,1.0,1.0
NSRGY,Nestle,,1.0,1.0
KHC,Kraft Heinz,,1.0,1.0
JNJ,Johnson and Johnson,,1.0,1.0
MDLZ,Mondelez International,,1.0,1.0
GIS,General Mills,,1.0,1.0
K,Kellanova,,1.0,1.0
